,Клиент,unique_orders_count,unique_orders_order_list
2878,Новоуренгойская центральная городская больница,1,[10175]
2879,Новошахтинский  завод нефтепродуктов,1,[14254]
2880,Новрузов Видади Муса оглы,1,[14383]
2881,Новые Гидросистемы,1,[15221]
2882,Новые коммунальные технологии,2,[ 8975 12415]
2883,Новые сады,1,[9691]
2884,Новые строительные технологии,3,[10040 11622 11296]
2885,Новый Импульс-50,1,[10233]
2886,Новый Элемент,1,[11759]
2887,Новый мир,1,[8500]
2888,Новый проект,1,[11339]
2889,Норд Империал,1,[9498]
2890,Норд Транзит,8,[14628 12537 12734 13549 12157 11805 11553 11144]
2891,НордГолд,46,"[ 9193  9128  8495  7332  7339  7348  7493  7773  7903 10127  9904 10524
  9999 13977 14079 14323 14588 14945  6689  6760  6850  6886  6965 12643
 12676 12686 12866 12889 12910 12952 12976 12977 12978 12984 13001 13032
 13040 13101 13115 13545 13665 11944 11489 11315 11295 11260]"
2892,Нордголд Менеджмент,5,[ 8758  8637  9446  8775 14339]
2893,Норильскгазпром,2,[10501 12774]
2894,Норильскникельремонт,1,[11732]
2895,Норникель - Общий центр обслуживания,2,[10440  9656]
2896,Норникель Спутник,1,[13418]
2897,Норрексим Рус,1,[9196]
2898,Нортгаз,1,[7956]
2899,Нортекс Строительные системы ,1,[7858]
2900,Нью Сити Проект,1,[13483]
2901,НьюСитиСтрой,2,[9062 9818]
2902,Няганьнефть,1,[15144]
2903,ОАТИ,1,[11284]
2904,ОБРАЗОВАТЕЛЬНЫЕ ПРОЕКТЫ,1,[13133]
2905,ОБСИДИАН,1,[14365]
2906,ОБЪЕДИНЕНИЕ ИНГЕОКОМ,1,[11725]
2907,ОБЪЕДИНЕННАЯ СЕРВИСНАЯ КОМПАНИЯ,2,[8291 6854]
2908,ОБЪЕДИНЕННАЯ ТЕХНОЛОГИЧЕСКАЯ КОРПОРАЦИЯ,2,[8301 8310]
2909,ОВЛ Энерго,1,[7190]
2910,ОДК,1,[12858]
2911,ОДК-Авиадвигатель,1,[14722]
2912,ОДК-Климов,1,[15053]
2913,ОДКПН санаторий Новинки,1,[8433]
2914,ОИЯИ,1,[9184]
2915,ОЙЛ СЕРВИС,1,[11517]
2916,ОЙЛ-62,1,[8705]
2917,ОЙЛПРОМ,1,[14736]
2918,ОК Групп,1,[11859]
2919,ОК РУСАЛ - Строй Инвет Проект,2,[12195 12170]
2920,ОК РУСАЛ Анодная Фабрика,8,[ 7842 13754  6971  7158 13025 13524 12152 11817]
2921,ОК Рублево-Звенигордский,1,[12342]
2922,ОКН,2,[14210 11537]
2923,ОЛЕКС ХОЛДИНГ-М,1,[7625]
2924,ОЛИМП СТАЛЬ,13,"[10661 13820 14031 14653 15139 12547 13071 13132 13372 13436 13486 12222
 12168]"
2925,ОЛИМПИК,1,[13058]
2926,ОЛИМСТРОЙ,1,[10020]
2927,ОМГ-Сервис,1,[11808]
2928,ОМК МАРКЕТ,1,[13837]
2929,ОМС,2,[ 8542 11840]
2930,ОМС-Новокузнецк,1,[13955]
2931,ОМС-Питание металлургов,1,[9302]
2932,ОМСКАГРОПРОМСТРОЙ,1,[11984]
2933,ОМСКВОДОКАНАЛ,1,[11940]
2934,ОМСКИЙ АЭРОПОРТ,1,[14132]
2935,ОМСКИЙ ЗАВОД ПОЛИПРОПИЛЕНА,1,[13810]
2936,ООКС УОТО ГУ МВД России по Воронежской области,1,[10901]
2937,ООО «Самолёт Девелопмент»,1,[7470]
2938,ООО УК Сибантрацит,4,[12600 12768 12769 12803]
2939,ООС,5,[ 8985  9746 10075 10357 10425]
2940,ОП СТАФ СЕКЬЮРИТИ,1,[7960]
2941,ОПК,1,[10316]
2942,ОПК МонСтрой,1,[7836]
2943,ОПОРА,1,[9849]
2944,ОПТИМУС СТИЛ,1,[10748]
2945,ОПТМАРКЕТСЕРВИС,1,[6869]
2946,ОРАК,1,[14236]
2947,ОРАНТУС,1,[14170]
2948,ОРИОН,3,[10658 11832 11421]
2949,ОРИСТЕР,1,[9021]
2950,ОРЛЕНОК,1,[15104]
2951,ОРТОДОКС,1,[11398]
2952,ОРУМ,1,[13906]
2953,ОРЭС - Владимирская область,1,[9604]
2954,ОСК,1,[8337]
2955,ОСКОЛЛОКОМОТИВСЕРВИС,1,[7712]
2956,ОСОБОЕ МНЕНИЕ,1,[9771]
2957,ОСТРОН,1,[10787]
2958,ОТДЕЛ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ВОЙСК НАЦИОНАЛЬНОЙ ГВАРДИИ РОССИЙСКОЙ ФЕДЕРАЦИИ,5,[ 7669  9806 13768 13557 11930]
2959,ОТДЕЛ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ВОЙСК НАЦИОНАЛЬНОЙ ГВАРДИИ РОССИЙСКОЙ ФЕДЕРАЦИИ ПО РЯЗАНСКОЙ ОБЛАСТИ,2,[8894 8548]
2960,ОТЕЛЬ ПАНОРАМА,1,[13937]
2961,ОТК Проект,1,[10619]
2962,ОТС-БРОКЕР,1,[6798]
2963,ОТЭКО,53,"[ 9066  8884  8719  9033  9032  8556  8999  8526  8732  8528  8576  7326
  7439  7440  7826  7925  7936  8027  8135  6746  6751  6764  6766  6770
  6778  6779  6814  6829  6844  6847  6858  6867  6883  6903  6904  6918
  6951  6963  7004  7035  7135  7162  7176  7205 12752 13030 13159 13616
 11704 11692 11691 11666 11314]"
2964,ОТЭКО-Портсервис,36,"[ 9107  8774  8927  8773  8568  9421  8616  8491  8562  8780  8444  8603
  8561  8625  8375  8675  8676  7553  7692  7726  7756  8274  9605  9566
  9705  9975  9964  9922  6717  6744  6806  7280 12918 12192 12150 12110]"
2965,ОТЭКО-Терминал,1,[8615]
2966,ОТЭКС,1,[13512]
2967,ОХК УРАЛХИМ,4,[ 8159 15130 15279 11787]
2968,ОХОТСКАЯ ГОРНО-ГЕОЛОГИЧЕСКАЯ КОМПАНИЯ,1,[13697]
2969,ОХФК,1,[8600]
2970,ОЭЗ ППТ Алабуга,4,[10688 12048 11968 10841]
2971,ОЭК,2,[ 8841 13392]
2972,ОблСтройИнвест ,1,[8957]
2973,Областная больница №23,1,[8347]
2974,Облкоммунэнерго,1,[12038]
2975,ОбнинскМашЭнерго,1,[13691]
2976,Обогатительная фабрика Коксовая,1,[14534]
2977,Оборонэнерго,3,[ 8750  9570 14587]
2978,Объединение Инжстрой,2,[ 8509 15014]
2979,Объединенная строительная компания 1520 ( ОСК 1520 ),1,[15353]
2980,Объединенная энергостроительная корпорация,3,[ 7490 11540 11390]
2981,Объединенные Энергетические Мощности ( ОЭМ ),1,[15278]
2982,Огнещит,1,[9512]
2983,Одинцовская Кабельная Компания,1,[13162]
2984,Одинцовская теплосеть,2,[8953 7104]
2985,Озеленение,1,[10597]
2986,Озерецкий молочный комбинат,1,[8101]
2987,Озерная горнорудная компания,4,[ 8998 10323 10390 10218]
2988,Озерное,1,[14378]
2989,Оил Маркет ,1,[8190]
2990,Окна-Стар,1,[12306]
2991,Октябрь фэмили,1,[8215]
2992,Олейник И.П.,1,[8181]
2993,Олекминская центральная районная больница,1,[13539]
2994,Олива,1,[8063]
2995,Олимпия,1,[11051]
2996,Ольха-Декор,1,[8513]
2997,Омега,2,[14939 14940]
2998,Омская академия МВД РФ,1,[14923]
2999,Омсктехуглерод,1,[13893]
3000,Оперативная Компания,1,[9491]
3001,Опора П,1,[8025]
3002,Оптика,1,[9591]
3003,Оптима Финанс,1,[11451]
3004,ОптимаТоп,1,[7345]
3005,ОпусГрупп,1,[12399]
3006,Опытный завод Гидромонтаж,1,[7072]
3007,Орда строй групп,1,[7043]
3008,Орелгосзаказчик,1,[10690]
3009,Орелстрой,2,[9327 8634]
3010,Оренсах,1,[7498]
3011,Оренсахстрой,3,[8370 8352 7700]
3012,Орион,1,[13355]
3013,Орлан,1,[12739]
3014,Орловской области Корсаковская ЦРБ,1,[9635]
3015,Основа,1,[14542]
3016,Отдел капитального строительства города Кудымкара,1,[11020]
3017,"Отдел капитального строительства"" администрации МР ""Ногайский район"" РД",1,[10439]
3018,Отдел образования Администрации Багаевского района Ростовской области,1,[13600]
3019,Отечественный продукт,1,[8918]
3020,Отечество,1,[14413]
3021,ПАО Массандра,1,[15072]
3022,ПАРИТЕТ,1,[14613]
3023,ПАРК,4,[8858 9263 7734 7261]
3024,ПАРК ИНВЕСТ,2,[9004 7714]
3025,ПАРК ТРИ ВУЛКАНА,1,[12998]
3026,ПАРКИ ЭЛЕКТРОСТАЛИ,1,[11737]
3027,ПАРКНЕФТЬ,16,"[ 8459  8596  8284 10372 10542 13719 15157 15302 12657 12839 12922 12941
 12953 12995 13568 11635]"
3028,ПАРТИЯ СНАБЖЕНИЯ,1,[7144]
3029,ПАРТНЕРЫ КРАСНОЯРСК,14,"[ 9293  9465  7865 10514 13792 13816 15175  6767 12598 13445 13526 13543
 11149 10823]"
3030,ПАСК,1,[10176]
3031,ПБ В. ЛОТОВА,1,[11399]
3032,ПВВ Коньково,1,[9202]
3033,ПВС МВД России,2,[ 9747 13470]
3034,ПГ Фосфорит,1,[10764]
3035,ПГК,1,[13563]
3036,ПГМ Маш,1,[8698]
3037,ПЕЛИСКЕР,1,[9649]
3038,ПЕНЗАСПЕЦАВТОМАШ,5,[ 8536 10803 13801 14076 14291]
3039,ПЕРВАЯ ФЕРМА,1,[14884]
3040,ПЕРВАЯ ЭКСПЕДИЦИОННАЯ КОМПАНИЯ,1,[13334]
3041,ПЕРСПЕКТИВА,2,[ 9392 10534]
3042,ПЕТЕРМАН АЛЕКСАНДР АНАТОЛЬЕВИЧ,1,[14755]
3043,ПЕТРОМАКС,1,[10789]
3044,ПЕТРОЭКОЛОГИЯ Северо Запад,1,[13235]
3045,ПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ГРАДЭК,1,[13828]
3046,ПЗБМ,1,[10738]
3047,ПЗМК,1,[8846]
3048,ПИ Красаэропроект,1,[11590]
3049,ПИИ Лигато,1,[10356]
3050,ПИК ЭЛБИ,1,[11220]
3051,ПИК-Модуль,1,[11992]
3052,ПИК-Продакшн,2,[13522 12350]
3053,ПИКАЛЕВСКИЙ ГЛИНОЗЕМНЫЙ ЗАВОД,1,[14496]
3054,ПИЛОТ-ВВ,1,[8606]
3055,ПИМУ,1,[8656]
3056,ПИРС (Проектный институт реконструкции и строительства объектов нефти и газа),2,[9410 8439]
3057,ПИРС-М,1,[11371]
3058,ПИТЕРГРАД,2,[14640 12856]
3059,ПИЭЛЬ-Компани,1,[9257]
3060,ПИиНИИ ВТ Ленаэропроект,1,[12077]
3061,ПК Bayan,1,[9610]
3062,ПК Байкал Аква,1,[9991]
3063,ПК Дизель-Ремонт,1,[11364]
3064,ПК ММЦ,1,[14406]
3065,ПК ОСНОВА,1,[13586]
3066,ПК ПЕЧАГИН (ПКП),1,[14578]
3067,ПК РусГард,1,[9963]
3068,ПК Стальпрокат,1,[8158]
3069,ПК Тандем,1,[10399]
3070,ПК Тракт,1,[8304]
3071,ПК Эликонстрой Групп,1,[8340]
3072,ПК Ярославич,1,[14074]
3073,ПКБ Зодчий,1,[14671]
3074,ПКИО ГО БОГДАНОВИЧ,1,[13501]
3075,ПКК ЛИГА-СЕРВИС 89,1,[10454]
3076,ПКМ,1,[10515]
3077,ПКП МЕРИДИАН,1,[14627]
3078,ПКС,1,[7840]
3079,ПКС Нефтесервис,1,[8359]
3080,ПКФ АГРОТИП,1,[8172]
3081,ПКФ Волгаэлектромаркет,1,[9796]
3082,ПКФ ГИДРОМАШ,1,[10351]
3083,ПКФ МОНОЛИТ,1,[11101]
3084,ПКФ РЕГИОН,2,[14136 11829]
3085,ПКФ Строй Групп,1,[8503]
3086,ПКФ ФИНАНССТРОЙБЕТОН,1,[10934]
3087,ПКФ Фактор,2,[8899 8872]
3088,ПКФ ЦВЕТНАЯ МЕТАЛЛУРГИЯ,1,[13853]
3089,ПКФ ЭнергоПромДеталь,1,[9941]
3090,ПЛК Каспий,2,[12932 13530]
3091,ПМ Консалтинг,1,[10337]
3092,ПМЗ МИКАС,2,[9233 9040]
3093,ПМК СПП,1,[10028]
3094,ПМК-98,1,[10155]
3095,ПМХ-ВТОРМЕТ,1,[15225]
3096,ПНЕВМОТЕХ,1,[15092]
3097,ПНК,1,[14047]
3098,ПНПЗ,1,[15096]
3099,ПНТЗ,1,[9560]
3100,ПО «Металлист,1,[7496]
3101,ПО ВолгаСпецХиммаш,1,[12147]
3102,ПО Гарантия,1,[10271]
3103,ПО МАЯК,1,[15337]
3104,ПО МЭС,1,[9442]
3105,ПО Металлист,1,[8317]
3106,ПО ОЧИСТКЕ ГОРОДА,1,[12442]
3107,ПО СЕВЕРМАШ,1,[8320]
3108,ПО СпецСтройПроект,1,[9540]
3109,ПО ТРАНСГАЗ,3,[12097 11985 11153]
3110,ПО УКС,1,[7783]
3111,ПОЛАР,1,[11973]
3112,ПОЛАР СИФУД РАША,1,[10180]
3113,ПОЛАРСТРОЙ,1,[9712]
3114,ПОЛЕКА,1,[9589]
3115,ПОЛЕМА,1,[6736]
3116,ПОЛИ-СМ,1,[15320]
3117,ПОЛОЗ,1,[7349]
3118,ПОРТ МЕЧЕЛ-ТЕМРЮК,1,[9074]
3119,ППК ВСК,1,[10933]
3120,ППК Косино,1,[11975]
3121,ППО ЭВТ им. В.А. Ревунова,1,[9624]
3122,ППО ЭВТ им.В.А.Ревунова,2,[6781 6786]
3123,ППП,2,[ 8819 14257]
3124,ППТК,1,[9245]
3125,ПРАЙМСНАБ,1,[14827]
3126,ПРЕЗИДЕНТ-СЕРВИС,2,[10214 12777]
3127,ПРЕМИС,1,[10858]
3128,ПРЕМИУМ КОМФОРТ,2,[14400 14829]
3129,ПРЕССМАШ,1,[9709]
3130,ПРЕСТИЖ,1,[14648]
3131,ПРИМА,1,[12443]
3132,ПРИОКСКСТРОЙ,1,[13408]
3133,ПРИОРИТЕТ АГРО,1,[12709]
3134,ПРОГРЕСС,1,[14787]
3135,ПРОГРЕССТРОЙ,2,[ 9569 12767]
3136,ПРОГРУПП СПЕЦТЕХ,1,[14497]
3137,ПРОДО Птицефабрика Калужская,1,[15093]
3138,ПРОЕКТНЫЕ РЕШЕНИЯ,1,[14899]
3139,ПРОИЗВОДСТВЕННАЯ КОМПАНИЯ «ТЕПЛООБМЕННЫЕ ТЕХНОЛОГИИ,1,[9301]
3140,ПРОКС,2,[15206 15273]
3141,ПРОМБИЗНЕССТРОЙ,1,[14158]
3142,ПРОМГИДРО,1,[8477]
3143,ПРОМЖИЛСТРОЙ,1,[14364]
3144,ПРОМИНТЕХ,1,[7479]
3145,ПРОММАШ,2,[ 8581 13442]
3146,ПРОМПРОЕКТ,1,[12991]
3147,ПРОМСТРОЙ,6,[ 8866 13722 14033 15318 13674 11751]
3148,ПРОМСТРОЙ ЭКСПЕРТ,2,[10954 10851]
3149,ПРОМТЕХ,1,[7750]
3150,ПРОМЫШЛЕННЫЕ ТЕХНОЛОГИИ,1,[10248]
3151,ПРОМЭЛЕКТРОМОНТАЖ-СТН,1,[8288]
3152,ПРОНТО,1,[12718]
3153,ПРОФ-СТРОЙ,1,[13226]
3154,ПРОФИЛЬ-ПРОМ,1,[11844]
3155,ПРОФИМА,1,[12895]
3156,ПРОФКОМПЛЕКТ,1,[10697]
3157,ПРОФСТРОЙ СЕРВИС,1,[13815]
3158,ПРОФУТБОЛ,1,[12871]
3159,ПРТ-МОНОЛИТ,1,[6735]
3160,ПСК Базис,1,[13564]
3161,ПСК БелЭнергоСтрой,1,[11731]
3162,ПСК ВОСТОК,1,[9282]
3163,ПСК ИСКАР,1,[7001]
3164,ПСК Модуль,1,[14264]
3165,ПСК ПИЛАР,1,[10060]
3166,ПСК Перспектива,1,[7356]
3167,ПСК РДС,1,[10753]
3168,ПСК СТРОЙМОНОЛИТ ,3,[12883 13199 13310]
3169,ПСК СТРОЙПАРК,4,[12546 12837 13114 12278]
3170,ПСК Строительная механика,2,[ 9365 10819]
3171,ПСК СтройИнвест,1,[9630]
3172,ПСК ТАУРУС,1,[14953]
3173,ПСК Твой Дом ,3,[10779 14489 14681]
3174,ПСК-ГАРАНТ,1,[8170]
3175,ПСК-Рост,1,[7375]
3176,ПСМ,1,[9431]
3177,ПСМК,4,[10340 10476 11536 11172]
3178,ПСО-13,5,[10183 14163 12014 11578 11126]
3179,ПСО77,1,[13804]
3180,ПСП Ритон,1,[12358]
3181,ПСТ,1,[9340]
3182,ПСЦ,1,[10806]
3183,ПТО Питкяранта,1,[12619]
3184,ПУР,1,[12587]
3185,ПУСКОВОЙ ЭЛЕМЕНТ,2,[7511 9935]
3186,ПФ Аксиос,2,[13505 11994]
3187,ПФ ВИС,5,[13822 13860 14751 14819 15284]
3188,ПФ Пакер Тулз,1,[9470]
3189,ПФК ЦСКА,1,[12894]
3190,ПФМК,1,[11454]
3191,ПЦИПС,1,[13155]
3192,ПЭС,1,[9932]
3193,Павловск Неруд,1,[12092]
3194,Павловская Слобода,1,[7317]
3195,Павловский Бетон,1,[13998]
3196,ПавлодарГостСТрой ,1,[7376]
3197,Пайа Сервис ,1,[14020]
3198,Пакер Сервис,1,[10255]
3199,Палмед,1,[12712]
3200,Пальметто ТГМ Интернешнл,2,[12726 11701]
3201,ПампЮнион,1,[8431]
3202,Парк Форос,1,[7252]
3203,Парк культуры и отдыха,1,[12925]
3204,Партнер-НН,1,[12956]
3205,Партнер-Юг,1,[11013]
3206,ПартнерБетон,1,[13485]
3207,Партнёр,1,[11486]
3208,Партс Линк Инт,1,[14274]
3209,Партум,1,[11139]
3210,Парус,3,[ 8708 10418 12085]
3211,Пасифик Рим Констракторс,45,"[ 8389  9103  9135  9015  7766  7800  8050  8086 10414 10376  9896 10038
 10281  9952 10128 10119 13705 13976 14013 14051 14142 14202 14341  6683
  6834  6857  6912  6916  7029  7034  7099  7131  7143 12419 12477 12981
 13214 13465 13478 13498 12331 12042 11604 11589 11246]"
3212,Пафнутьев Антон Евгеньевич,1,[9494]
3213,Пашенцев ,1,[8238]
3214,Пензамолинвест ПМИ,2,[7992 6684]
3215,Пензанефтепродукт,2,[12838 11889]
3216,Пензаспецавтомаш,1,[14479]
3217,Пензастройсервис,1,[13066]
3218,Пензгорстройзаказчик,1,[13723]
3219,Пензенские грузовые перевозки,1,[7988]
3220,Пензкомпрессормаш,1,[7218]
3221,Первая горнорудная компания,5,[ 8279 12944 12326 11688 11379]
3222,Первая нерудная компания,1,[8771]
3223,Первоуральский завод горного оборудования ПЗГО,1,[10988]
3224,Переработка,1,[10968]
3225,Перестройка,1,[6851]
3226,Пермтрансжелезобетон (ПТЖБ),1,[14743]
3227,Пермь-Комплектация,1,[9106]
3228,Перспектива,5,[ 7953  8149 10530 11894 11520]
3229,Перспектива-М,1,[6884]
3230,Перфильев А.С.,2,[9733 9755]
3231,Петербург Групп,1,[8629]
3232,Петербургские дороги,3,[ 9520 10339  9913]
3233,Петербургский нефтяной терминал,4,[11526 11331 11293 11021]
3234,Петербургцемент,1,[12260]
3235,Петон Констракшн,1,[7443]
3236,Петрикеев Сергей Анатольевич,1,[9058]
3237,Петро Велт Технолоджис ,1,[10701]
3238,ПетроГазСтрой,3,[10506 10645 10519]
3239,ПетроЭлектроСтрой,1,[9057]
3240,Петровский СПб,1,[11435]
3241,Петролеум ,1,[14048]
3242,Печоранефтегаз,1,[14023]
3243,Пивная Столица,1,[8052]
3244,Пилон,1,[13724]
3245,Питомец,1,[7467]
3246,Пищевые технологии,1,[10843]
3247,Плаг энд Плей Инжиниринг,2,[ 9885 12239]
3248,Плазма-Т,1,[14516]
3249,Плодородие - Лукоянов,1,[11338]
3250,Плодородие-Саратов,1,[11368]
3251,Площадь,1,[15128]
3252,Пограничное управление Федеральной службы безопасности Российской Федерации по Омской области,1,[13654]
3253,Подводсервисстрой,1,[13777]
3254,Подольский машиностроительный завод,1,[11171]
3255,Покачевское УТТ,1,[13024]
3256,Покровский рудник,1,[14864]
3257,Полаир,1,[14466]
3258,Полевое учреждение Банка России №43192,3,[ 9067 13827 13057]
3259,ПолиАэрПак,1,[12771]
3260,ПолиБиоТехник,1,[14747]
3261,Полигран-Строй-Инвест,1,[7690]
3262,ПолимерТорг,1,[13364]
3263,Полиметалл,6,[ 7804 10290  6796 12665 12666 12667]
3264,Полиметалл УК,1,[12041]
3265,Полипром,1,[13623]
3266,Политехстрой,2,[9513 9228]
3267,Полишелк ,1,[7175]
3268,Полиэкс,1,[10312]
3269,Полюс,23,"[ 7321  7612  7710  7780  7788  7928  8035  8129 10538 10237 10224 10151
  9894  9969 10680 10407 14039 14053  6860  7199 12212 11195 11017]"
3270,Полюс Алдан,1,[12039]
3271,Полюс Вернинское,6,[ 8622  9348  8886 10481 10393 12040]
3272,Полюс Красноярск,4,[ 8822 10724 10711 11915]
3273,Полюс Логистика,5,[ 8498  8722 11552 11210 11045]
3274,Полюс Магадан (АО РиМ),6,[ 8524  9017  9367  8601  7338 11250]
3275,Полюс Сухой Лог,2,[15191 11574]
3276,Поняев Дмитрий,1,[12338]
3277,Попов,1,[14225]
3278,Порт Эльга,1,[14687]
3279,Почта России,5,[ 9217 10801 10797 13920 12182]
3280,Правительство Самарской области,1,[12854]
3281,Правоведъ,1,[11158]
3282,Прайд,2,[ 8116 11309]
3283,Прайм ,1,[7991]
3284,Прайм проджект,1,[11367]
3285,Предприятие уранового холдинга АРМЗ (ППГХО),2,[14375  7137]
3286,Представительство Акционерного Общества «Путеви» Ужице (Республика Сербия) г. Москва,4,[ 9395  6875 12679 12806]
3287,Премиум Логистик,1,[10919]
3288,Премьер Инвест,1,[13345]
3289,Премьер-Энерго,1,[8031]
3290,Престиж Строй,2,[11197 11186]
3291,Пречистенский молочный продукт,1,[11123]
3292,Призма-С,1,[8515]
3293,Принт Колор,1,[13413]
3294,Приокская Промышленная Компания,1,[8204]
3295,Про Строй Ижиниринг ,1,[8060]
3296,ПроБиоФарм,1,[10993]
3297,ПроКлевер,1,[11987]
3298,ПроЛив,1,[7395]
3299,ПроСервис Таймыр,2,[13454 11242]
3300,ПроТех,1,[15019]
3301,Провими (LLC Cargill),1,[8987]
3302,Прогноз,2,[7372 7165]
3303,Прогресс,1,[13488]
3304,Прогресс-М,1,[13994]
3305,Продакшн,2,[14301 11658]
3306,Продукты питания,1,[10778]
3307,Проект Инвест Строй,2,[8911 9086]
3308,Проект Строй Комплектация,1,[14471]
3309,Проект-Девелопмент,2,[ 6824 11792]
3310,Проект-Сити,1,[14860]
3311,ПроектСтройИнжиниринг,1,[12893]
3312,Проектинжиниринг,1,[10723]
3313,Проектная группа ЛИДЕР,1,[14435]
3314,Проектная фирма ОРТА,1,[8026]
3315,Проектно-строительная компания РусЮнион,1,[13136]
3316,Проектно-строительное бюро ЖилСтрой,2,[10581 13339]
3317,Проектное бюро АрКо,1,[9661]
3318,"Проектный Институт Строительства, модернизации и реконструкции",1,[8124]
3319,Проектстройсервис,4,[ 9041  9984 12585 11698]
3320,Производственная компания Домком Окна,1,[14510]
3321,Производственная компания Стандартпарк,1,[14660]
3322,Производственная фирма ВИС,1,[9331]
3323,Производственно-монтажный центр Старт-7,1,[12291]
3324,Прокатмонтаж,6,[ 9273  6915  6930 13584 10840 10820]
3325,Проконс,1,[7819]
3326,Пром Эксперт,1,[9043]
3327,ПромГражданПроект,1,[10528]
3328,ПромМонтаж,1,[14928]
3329,ПромПанель,2,[6811 6964]
3330,ПромПанельСтрой,1,[7150]
3331,ПромСпецПол,1,[8228]
3332,ПромСтройЗаказчик,1,[6732]
3333,ПромТехИнжиниринг ,1,[7623]
3334,ПромТехноГрупп,1,[11383]
3335,ПромТрубМонтаж,1,[13806]
3336,Промжилсервис,1,[9418]
3337,Проминбург,1,[13265]
3338,Проминдустрия,1,[9328]
3339,Проминжиниринг,1,[8237]
3340,Промнефтегазинжиниринг,1,[11305]
3341,Промоборудование,1,[7300]
3342,Промпереработка,1,[8058]
3343,Промпривод,1,[8089]
3344,Промсвязьинвестъ,1,[9834]
3345,Промсервис,1,[10929]
3346,Промсоюз,2,[11071 11047]
3347,Промстрой,6,[ 8541  9370  7336  7849  8007 11432]
3348,Промстрой ОП Омск,1,[7544]
3349,Промтехстрой,1,[14564]
3350,Промфинстрой,2,[7874 9889]
3351,Промформат,1,[10749]
3352,Промхимпермь,1,[13289]
3353,Промышленные технологии,3,[ 9029 12555 12841]
3354,Промэкскавация,2,[10045  7130]
3355,Промэлектроника,1,[9519]
3356,Проспект-м3,1,[7813]
3357,Противопожарная служба,3,[13753 15071 13414]
3358,Противопожарная служба РБ,1,[11081]
3359,ПрофИнжиниринг,1,[15051]
3360,ПрофМонтаж,1,[10363]
3361,ПрофСпец,1,[8983]
3362,ПрофСтрой,2,[14088 11981]
3363,ПрофЭнергоСтрой,1,[14377]
3364,Профессиональное Снабжение Строительства,1,[7719]
3365,Профессиональные технологии ОП Новый Уренгой,1,[11705]
3366,Профессиональный строитель,5,[10405 15341 12818 11980 11117]
3367,ПрофитСтрой,1,[9060]
3368,Профсистемы-Крым,1,[8223]
3369,Профснаб,1,[14456]
3370,Профтехстрой,1,[11268]
3371,Профэксп,1,[9647]
3372,Птицефабрика Верхневолжская,1,[11583]
3373,Пурнефтепереработка,1,[11651]
3374,Пыжиков Владислав Михайлович,1,[13589]
3375,Р-Перспектива,1,[9088]
3376,Р-СТРОЙ,3,[13947 13149 13172]
3377,Р.О.С.Спецтехмонтаж,2,[9315 7368]
3378,РА-СТРОЙ,1,[10580]
3379,РАЗРЕЗ СТЕПАНОВСКИЙ,2,[12946 13099]
3380,РАЙСВОЛФ,1,[9775]
3381,РАЛЬФ РИНГЕР МОФ,1,[13243]
3382,РАМЕНСКИЙ КОМБИНАТ ХЛЕБОПРОДУКТОВ,1,[11786]
3383,РАМИНЖИНИРИНГ,1,[10883]
3384,РАО Наровчатское,1,[12324]
3385,РАСАЛЕС,1,[8466]
3386,РАССВЕТПЛЮС,1,[8233]
3387,РАТЕЛ ИНЖИНИРИНГ,1,[13716]
3388,РАЭРА,1,[9525]
3389,РБК и К,1,[9539]
3390,РБМ,1,[14469]
3391,РВС,1,[9726]
3392,РГ - Девелопмент,1,[12177]
3393,РДМ,15,"[ 9322  8703  8413  8859  8744 13788  7027  7031  7069  7185 12579 12580
 12741 11579 11231]"
3394,РЕАЛ М,1,[7982]
3395,РЕАЛИЗ,1,[13210]
3396,РЕВВЕЛ – Торговый Дом,1,[8588]
3397,РЕГИОНАЛЬНОЕ ОПЕРАТИВНО-ПОИСКОВОЕ УПРАВЛЕНИЕ,2,[14098 14370]
3398,РЕГИОНПРОДРЕЗЕРВ,1,[11588]
3399,РЕГИОНЫ-Девелопмент,1,[7328]
3400,РЕЗЕРВ,1,[14112]
3401,РЕЗЕРВУАР СТРОЙ МОНТАЖ,1,[11532]
3402,РЕМОНТНО-СТРОИТЕЛЬНАЯ КОМПАНИЯ,1,[10900]
3403,РЕМСТРОЙСЕРВИС ДВ ( РСС ДВ ),1,[15326]
3404,РЕМЭКС ЭНЕРГОМОНТАЖ,1,[14241]
3405,РЕНЕЙССАНС ХЭВИ ИНДАСТРИС,1,[11773]
3406,РЕНЕТ КОМ,1,[9592]
3407,РЕНОВАЦИЯ,1,[14839]
3408,РЕСТАВРАЦИЯ,1,[13198]
3409,РЕСУРС ,2,[8645 7471]
3410,РЖД,29,"[ 8833  9478  7763  7779  7870  7890  7994  8018 10635 10262 10099 13858
 13948 14028 14211 14976 15257  6703 12427 12447 12502 12572 12887 13188
 13307 13308 13604 11518 11073]"
3411,РЖДстрой,2,[ 8434 11090]
3412,РК,1,[8784]
3413,РК Больница скорой медицинской помощи,1,[12286]
3414,РК Вода Крыма,1,[10531]
3415,РК ГУМТОЗРК,1,[8448]
