,Клиент,unique_orders_count,unique_orders_order_list
224,АГРАРИЙ,1,[12791]
225,АГРО-КЕЙСИНГ,1,[7897]
226,АГРО-ПРОДУКТ,1,[7148]
227,АГРОКОМПЛЕКС ИСТЬЕ,1,[14656]
228,АГРООПТИМА,1,[11312]
229,АГРОСАЛОН ЧЕРНОЗЕМЬЕ,1,[12802]
230,АГРОТЕХСЕРВИС,1,[14382]
231,АГРОЭКО-ЮГ,1,[15307]
232,АДАМАНТ- СТРОЙ,1,[12719]
233,АДАМС ,1,[7347]
234,АДЕПТ-КОМПЛЕКТ,1,[12017]
235,АДИДАС,1,[7122]
236,АДМ-ТЕХНО,1,[10306]
237,АДМИНИСТРАЦИЯ ВЕРХНЕСАЛДИНСКОГО ГОРОДСКОГО ОКРУГА,1,[14128]
238,АДМИНИСТРАЦИЯ ДАЛМАТОВСКОГО РАЙОНА,1,[13207]
239,АДМИНИСТРАЦИЯ КЕМСКОГО МУНИЦИПАЛЬНОГО РАЙОНА РЕСПУБЛИКИ КАРЕЛИЯ,1,[15140]
240,АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО  РАЙОНА  ИЖЕМСКИЙ,1,[10479]
241,АДМИНИСТРАЦИЯ СРЕДНЕЕГОРЛЫКСКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ,1,[13717]
242,АДС-КомпрессорСервис,1,[11248]
243,АЗ-МОБАЙЛ,1,[13087]
244,АЗИМУТ,2,[12448 11377]
245,АЗК,1,[10367]
246,АЗОВСТРОЙ,1,[11776]
247,АЗОТ МАЙНИНГ СЕРВИС,1,[10769]
248,АЗС ПромИнвест,1,[12923]
249,АЗС-Строй,1,[12779]
250,АЗСТРАСТСТРОЙ,1,[8155]
251,АИК ДПМ ,2,[ 7546 11932]
252,АИКОМ,3,[ 8075 10364 10143]
253,АИМ Холдинг,6,[14704 12516 12518 12532 12559 12276]
254,АИР Магистраль,1,[13236]
255,АЙКОМ ИНЖИНИРИНГ,1,[11259]
256,АЙЛЕВЕЛ,1,[11575]
257,АЙПРОДЖЕКТПЛЮС,1,[13287]
258,АК Бюро Проект,1,[11476]
259,АК ЭйрБриджКарго,1,[9947]
260,АК-МТ-ЦФО,1,[11846]
261,АК-Метро,1,[11404]
262,АКАДЕМИЯ ЖЕНСТВЕННОСТИ,1,[13896]
263,АКВАПАК ИНДАСТРИАЛ,1,[10138]
264,АКПЛАСТ,1,[12375]
265,АКРИХИН,1,[12002]
266,АКРОПОЛЬ ИНЖИНИРИНГ,1,[7920]
267,АКСИ,1,[9573]
268,АКСИТЕХ,1,[9203]
269,АКТИВСТРОЙ,1,[13000]
270,АКЦИОНЕРНАЯ НЕФТЯНАЯ КОМПАНИЯ БАШНЕФТЬ,3,[14395 15010 13208]
271,АЛ БОРА,1,[12901]
272,АЛБА ГРУПП,1,[10948]
273,АЛВИД,1,[8314]
274,АЛЕКС БАЙТЛЕР РУС,1,[10220]
275,АЛЕМ Констракшн Груп,3,[8599 8693 7495]
276,АЛЕРТКОМ,1,[9413]
277,АЛКО,1,[8415]
278,АЛКОТОРГ,1,[7832]
279,АЛПРОМ,1,[8037]
280,АЛРОСА,17,"[ 9110 10560 10350 10471 10685 13728 14078 14996 12677 12746 13342 13517
 13687 12256 11778 11602 10966]"
281,АЛРОСА-Газ,1,[10890]
282,АЛРОСА-охрана,1,[12102]
283,АЛТАЙ-КАЛЬЦИТ,1,[14847]
284,АЛТАЙХЛЕБ,1,[14512]
285,АЛЬМИС-ИНТЕГРАЛ,2,[15145 10927]
286,АЛЬТЕРНАТИВАСТРОЙ,1,[11870]
287,АЛЬФА-ПРИБОР,1,[10742]
288,АЛЬФА-ЭНЕРГО,1,[15031]
289,АЛЬФАНЕФТЕХИМ,1,[14448]
290,АЛЬЦИОНА-С,1,[7455]
291,АЛЬЯНС АЛТЫН,1,[12225]
292,АЛЬЯНС ИНТЕГРАЦИЯ,1,[12362]
293,АЛЬЯНС-СТРОЙ,2,[14285 11541]
294,АЛЬЯНСССТРОЙ,1,[7801]
295,АЛЮМОСТАЛЬСЕРВИС,1,[10562]
296,АМАРТ,1,[9983]
297,АМАЧ,1,[12921]
298,АМБАССАДОР ГРУПП,1,[13946]
299,АМЕ,1,[12282]
300,АМЖ Групп,2,[7812 7966]
301,АМЗ ВЕНТПРОМ,1,[7139]
302,АМК Комплектация,1,[9268]
303,АМК Недра,1,[8321]
304,АМТЕК,1,[9732]
305,АНАЛИТИЧЕСКИЙ ЦЕНТР,1,[14027]
306,АНАРСА,1,[12249]
307,АНВА Прогресс-Мурманск,1,[11056]
308,АНГАР 31,1,[14460]
309,АНГАР-СЕЛЬХОЗ,1,[8935]
310,АНГАРА,1,[8042]
311,АНДРОМЕТА СЕВЕРО-ВОСТОК,1,[12230]
312,АНОД-ПЛЮС,2,[ 8362 10682]
313,АНСТАЛ,1,[13910]
314,АНТ ЯПЫ,12,[ 8778  8313  8518  8996  7426  7578  7749 13850  6701  6990  7036 12336]
315,АНТИТОК,1,[15065]
316,АНТРОМ,1,[12086]
317,АНЦ,1,[7955]
318,АО Лиманская РБ,1,[7635]
319,АП Групп,1,[9126]
320,АПГРЕЙД,1,[10894]
321,АПЕКС,1,[10095]
322,АПК РусАгроАльянс,2,[7420 7469]
323,АПК Сибирь,1,[8365]
324,АПК-Курск,1,[9200]
325,АППАЛТО ГРУП,1,[14643]
326,АПСИС ФИНАНС,1,[14181]
327,АПХ ЭКО-Культура,2,[13771 15323]
328,АРВ Инфраструктура,2,[8357 7461]
329,АРГО,3,[ 9872  9662 11166]
330,АРИАНСЕРВИС,2,[8397 7898]
331,АРК СМК,1,[7699]
332,АРКТЕХ,1,[15007]
333,АРКТИК СПГ 2,6,[ 9009  9420  7663  7732  7851 10174]
334,АРМ ЭнергоТрейд,5,[14652 14782 13351 11322 11132]
335,АРМАДАОИЛ,1,[7138]
336,АРМО-ГРУПП (Armo-group),1,[11439]
337,АРМРУС СТРОЙ,1,[14835]
338,АРС,1,[15003]
339,АРС-ИНЖИНИРИНГ,1,[13873]
340,АРСЕНАЛ,3,[10665 15032 11199]
341,АРТ,1,[13863]
342,АРТ АВИА,1,[11350]
343,АРТ строй,1,[7947]
344,АРТ-СТРОЙ МОСКВА,1,[10195]
345,АРТЭНЕРГО,1,[12008]
346,АС ПОЛЮС,1,[15091]
347,АС ПРОЕКТ,1,[12715]
348,АС-Стройинжиниринг,1,[13223]
349,АСГ Техно Строй,1,[12939]
350,АСГ-КОНСТРАКШН,3,[12869 13383 11838]
351,АСД-Групп,2,[13185 13379]
352,АСЖ,1,[9617]
353,АСК Альянс,1,[10300]
354,АСК СПЕЦСТРОЙМЕХАНИЗАЦИЯ,1,[11473]
355,АСК ЮНИТЭК-ИНЖИНИРИНГ,1,[14186]
356,АСКО,1,[8510]
357,АСКОМ Инжиниринг,1,[13671]
358,АСМ,1,[12927]
359,АСМ-1,8,[14632 14677 14776 12773 12971 13664 12171 11931]
360,АСП АКВА,5,[10567  7105 12124 11000 10962]
